iter	RMSE
0	8300.801742
1	7794.526277
2	7322.780443
3	6908.312945
4	6534.680167
5	6203.037451
6	5901.25353
7	5626.451435
8	5385.442693
9	5168.935091
10	4970.693493
11	4792.031648
12	4641.012442
13	4497.328007
14	4371.172154
15	4260.477428
16	4160.293454
17	4073.072074
18	3991.66293
19	3919.01047
20	3856.484031
21	3791.831171
22	3735.130487
23	3684.969433
24	3641.239296
25	3603.616571
26	3566.435804
27	3533.798655
28	3508.224129
29	3478.427349
30	3450.88488
31	3426.186257
32	3401.750748
33	3378.417114
34	3357.896904
35	3337.842812
36	3312.878639
37	3294.830949
38	3276.76238
39	3261.473209
40	3246.986868
41	3232.336136
42	3221.810027
43	3211.51631
44	3204.10091
45	3190.257476
46	3178.679208
47	3166.252353
48	3156.063765
49	3151.507413
50	3141.231924
51	3133.552793
52	3129.593806
53	3117.856695
54	3109.565059
55	3097.788005
56	3089.516835
57	3086.281974
58	3078.438106
59	3067.805133
60	3057.376347
61	3050.65297
62	3039.972059
63	3036.796135
64	3034.188919
65	3026.425446
66	3020.073239
67	3012.633478
68	3005.406266
69	2999.98024
70	2993.872788
71	2990.717521
72	2987.777994
73	2979.931799
74	2974.085034
75	2968.60733
76	2962.53277
77	2954.085377
78	2948.892242
79	2943.414621
80	2937.624499
81	2932.827131
82	2927.725442
83	2922.058321
84	2919.824046
85	2917.921834
86	2910.095016
87	2905.581531
88	2898.110737
89	2894.30532
90	2889.92537
91	2885.470046
92	2881.044119
93	2876.195818
94	2868.241899
95	2863.735546
96	2860.303155
97	2856.112066
98	2853.515033
99	2848.868901
100	2845.10574
101	2841.223475
102	2834.769119
103	2831.104347
104	2827.953587
105	2823.109755
106	2819.558754
107	2815.925049
108	2811.341484
109	2807.665403
110	2797.395905
111	2796.051832
112	2794.210928
113	2790.626262
114	2788.625724
115	2785.18428
116	2780.118078
117	2774.149244
118	2769.365909
119	2765.974128
120	2763.920293
121	2760.758368
122	2758.852151
123	2755.370114
124	2750.951982
125	2746.890223
126	2744.467782
127	2742.359202
128	2738.412746
129	2732.033362
130	2729.438785
131	2724.217814
132	2720.618737
133	2717.794848
134	2713.995349
135	2710.091721
136	2706.769968
137	2703.086541
138	2699.441537
139	2696.845081
140	2694.397318
141	2689.58958
142	2685.605169
143	2682.584138
144	2680.784555
145	2677.451779
146	2671.774799
147	2669.751951
148	2667.182997
149	2665.847457
150	2662.456545
151	2659.256783
152	2656.934414
153	2652.871914
154	2650.473546
155	2648.050289
156	2647.035809
157	2642.977279
158	2639.158638
159	2636.317647
160	2633.76995
161	2632.340142
162	2630.344004
163	2627.935118
164	2621.258092
165	2618.822178
166	2615.629312
167	2613.471199
168	2610.424381
169	2606.786484
170	2605.883899
171	2604.236671
172	2601.602462
173	2597.840946
174	2592.266867
175	2586.96989
176	2584.526505
177	2582.553078
178	2579.256492
179	2577.938293
180	2576.442597
181	2574.02138
182	2571.343297
183	2569.390562
184	2567.191434
185	2565.034123
186	2563.231669
187	2561.169521
188	2557.992279
189	2555.283842
190	2551.81154
191	2548.127064
192	2546.946067
193	2544.797712
194	2543.258881
195	2540.83103
196	2538.473498
197	2537.283902
198	2535.10513
199	2531.139596
200	2529.477058
201	2527.864582
202	2526.103811
203	2525.162352
204	2522.417592
205	2520.887682
206	2516.088589
207	2513.98722
208	2510.743044
209	2509.595439
210	2507.329102
211	2503.132418
212	2500.299212
213	2499.454743
214	2497.341321
215	2494.701726
216	2492.917604
217	2490.565318
218	2488.102461
219	2486.626639
220	2484.542616
221	2482.668331
222	2481.394092
223	2479.689494
224	2477.4196
225	2476.21071
226	2472.700659
227	2469.500444
228	2466.919607
229	2464.260425
230	2463.64439
231	2461.566591
232	2459.85273
233	2458.729727
234	2456.736408
235	2455.458025
236	2454.329828
237	2452.758764
238	2449.552822
239	2448.309435
240	2446.954759
241	2444.852961
242	2442.548879
243	2441.4995
244	2439.208199
245	2437.848823
246	2436.323591
247	2434.107453
248	2431.590398
249	2431.046057
250	2428.771695
251	2427.515807
252	2425.08328
253	2423.147721
254	2421.602607
255	2420.385063
256	2419.155793
257	2417.63661
258	2416.592058
259	2414.212202
260	2410.845102
261	2408.707486
262	2407.699711
263	2406.517051
264	2406.107915
265	2404.46532
266	2403.40784
267	2402.343689
268	2401.079149
269	2399.88228
270	2398.720761
271	2397.468334
272	2395.371262
273	2394.585248
274	2392.621517
275	2390.752667
276	2389.861542
277	2387.582742
278	2385.952833
279	2384.619749
280	2384.446119
281	2383.473201
282	2382.452159
283	2380.537245
284	2379.132532
285	2377.248547
286	2376.064015
