iter	Passed	Remaining
0	12	12553
1	26	13294
2	40	13323
3	53	13228
4	65	13016
5	78	12981
6	91	12939
7	103	12810
8	115	12697
9	127	12640
10	139	12535
11	151	12484
12	163	12395
13	175	12351
14	187	12333
15	200	12314
16	213	12326
17	225	12311
18	237	12268
19	249	12247
20	261	12195
21	274	12216
22	287	12199
23	299	12161
24	311	12152
25	323	12130
26	334	12068
27	347	12056
28	358	11996
29	369	11941
30	381	11921
31	392	11876
32	404	11859
33	416	11836
34	427	11795
35	438	11743
36	452	11771
37	464	11754
38	476	11742
39	489	11738
40	502	11762
41	515	11758
42	527	11746
43	541	11775
44	555	11790
45	568	11789
46	582	11804
47	631	12523
48	649	12607
49	661	12576
50	677	12609
51	689	12575
52	703	12562
53	715	12540
54	728	12516
55	740	12487
56	753	12461
57	765	12425
58	778	12410
59	789	12376
60	801	12336
61	813	12305
62	825	12277
63	837	12246
64	847	12196
65	859	12163
66	871	12137
67	883	12104
68	895	12080
69	906	12045
70	918	12014
71	930	11999
72	943	11981
73	955	11951
74	967	11933
75	979	11909
76	990	11878
77	1002	11848
78	1014	11828
79	1025	11798
80	1037	11774
81	1048	11743
82	1060	11715
83	1072	11695
84	1084	11669
85	1095	11644
86	1107	11620
87	1118	11587
88	1129	11566
89	1141	11543
90	1152	11514
91	1164	11490
92	1175	11459
93	1186	11438
94	1198	11420
95	1210	11400
96	1223	11389
97	1234	11360
98	1245	11334
99	1258	11330
100	1271	11316
101	1283	11298
102	1294	11277
103	1308	11271
104	1320	11252
105	1331	11225
106	1342	11203
107	1354	11187
108	1367	11175
109	1377	11145
110	1389	11131
111	1401	11111
112	1412	11089
113	1424	11071
114	1436	11051
115	1447	11032
116	1459	11017
117	1471	10998
118	1484	10991
119	1495	10966
120	1506	10941
121	1517	10920
122	1527	10893
123	1539	10874
124	1551	10860
125	1563	10847
126	1574	10824
127	1586	10807
128	1598	10794
129	1611	10782
130	1621	10758
131	1633	10739
132	1645	10727
133	1657	10708
134	1668	10691
135	1680	10674
136	1691	10653
137	1703	10637
138	1715	10625
139	1726	10604
140	1738	10588
141	1750	10574
142	1760	10553
143	1773	10544
144	1785	10525
145	1796	10509
146	1809	10499
147	1820	10480
148	1831	10459
149	1842	10440
150	1854	10428
151	1865	10408
152	1877	10391
153	1889	10378
154	1900	10359
155	1912	10347
156	1924	10332
157	1936	10321
158	1948	10304
159	1959	10289
160	1971	10274
161	1983	10257
162	1994	10240
163	2007	10235
164	2019	10219
165	2030	10199
166	2042	10185
167	2052	10166
168	2065	10155
169	2077	10142
170	2088	10125
171	2100	10110
172	2113	10102
173	2125	10092
174	2139	10086
175	2150	10068
176	2163	10059
177	2174	10042
178	2186	10028
179	2197	10012
180	2208	9993
181	2220	9978
182	2232	9968
183	2244	9953
184	2256	9941
